,,,
오픈 API 명세서,,,
,,,
(급식식단정보),,,
,,,
• 요청주소,,,
- https://open.neis.go.kr/hub/mealServiceDietInfo,,,
,,,
• 요청제한횟수,,,
- 제한없음,,,
,,,
• 기본인자,,,
변수명,타입,변수 설명,설명
Key,STRING(필수),인증키,기본값 : sample key
Type,STRING(필수),"호출 문서(xml, json)",기본값 : xml
pIndex,INTEGER(필수),페이지 위치,기본값 : 1(sample key는 1 고정)
pSize,INTEGER(필수),페이지 당 요청 숫자,기본값 : 100(sample key는 5 고정)
,,,
• 요청인자,,,
변수명,타입,변수 설명,설명
ATPT_OFCDC_SC_CODE,STRING(필수),시도교육청코드,시도교육청구분코드
SD_SCHUL_CODE,STRING(필수),행정표준코드,행정표준코드
MMEAL_SC_CODE,STRING(선택),식사코드,식사구분코드
MLSV_YMD,STRING(선택),급식일자,급식일자
MLSV_FROM_YMD,STRING(선택),급식시작일자,급식시작일자
MLSV_TO_YMD,STRING(선택),급식종료일자,급식종료일자
,,,
• 출력값,,,
No,출력명,출력 설명,설명
1,ATPT_OFCDC_SC_CODE,시도교육청코드,시도교육청구분코드
2,ATPT_OFCDC_SC_NM,시도교육청명,시도교육청구분명
3,SD_SCHUL_CODE,행정표준코드,행정표준코드
4,SCHUL_NM,학교명,학교명
5,MMEAL_SC_CODE,식사코드,식사구분코드
6,MMEAL_SC_NM,식사명,식사구분명
7,MLSV_YMD,급식일자,급식일자
8,MLSV_FGR,급식인원수,급식인원수
9,DDISH_NM,요리명,요리명
10,ORPLC_INFO,원산지정보,원산지정보
11,CAL_INFO,칼로리정보,칼로리정보
12,NTR_INFO,영양정보,영양정보
13,MLSV_FROM_YMD,급식시작일자,급식시작일자
14,MLSV_TO_YMD,급식종료일자,급식종료일자
15,LOAD_DTM,수정일자,적재일시
,,,
• 메시지 설명,,,
No,구분,코드,설명
1,ERROR,300,필수 값이 누락되어 있습니다. 요청인자를 참고 하십시오.
2,ERROR,290,"인증키가 유효하지 않습니다. 인증키가 없는 경우, 홈페이지에서 인증키를 신청하십시오."
3,ERROR,310,해당하는 서비스를 찾을 수 없습니다. 요청인자 중 SERVICE를 확인하십시오.
4,ERROR,333,요청위치 값의 타입이 유효하지 않습니다.요청위치 값은 정수를 입력하세요.
5,ERROR,336,"데이터요청은 한번에 최대 1,000건을 넘을 수 없습니다."
6,ERROR,337,일별 트래픽 제한을 넘은 호출입니다. 오늘은 더이상 호출할 수 없습니다.
7,ERROR,500,서버 오류입니다. 지속적으로 발생시 홈페이지로 문의(Q&A) 바랍니다.
8,ERROR,600,데이터베이스 연결 오류입니다. 지속적으로 발생시 홈페이지로 문의(Q&A) 바랍니다.
9,ERROR,601,SQL 문장 오류 입니다. 지속적으로 발생시 홈페이지로 문의(Q&A) 바랍니다.
10,INFO,000,정상 처리되었습니다.
11,INFO,100,(해당 자료는 단순 참고용으로만 활용하시기 바랍니다.)
12,INFO,300,관리자에 의해 인증키 사용이 제한되었습니다.
13,INFO,200,해당하는 데이터가 없습니다.
